Alabama,129
Alaska,35
Arizona,155
Arkansas,108
California,1246
Colorado,171
Connecticut,114
Delaware,23
District of Columbia,33
Florida,439
Georgia,210
Hawaii,43
Idaho,33
Illinois,391
Indiana,175
Iowa,107
Kansas,99
Kentucky,165
Louisiana,173
Maine,60
Maryland,148
Massachusetts,261
Michigan,302
Minnesota,169
Mississippi,69
Missouri,242
Montana,54
Nebraska,68
Nevada,77
New Hampshire,43
New Jersey,207
New Mexico,61
New York,632
North Carolina,188
North Dakota,30
Ohio,386
Oklahoma,158
Oregon,125
Pennsylvania,544
Rhode Island,37
South Carolina,97
South Dakota,33
Tennessee,191
Texas,506
Utah,60
Vermont,32
Virginia,222
Washington,164
West Virginia,99
Wisconsin,132
Wyoming,17
